Handle,Title,Option1 Name,Option1 Value,Group option 1 (product.metafields.custom.group_option_1),Group option 2 (product.metafields.custom.group_option_2)
everbox-cabin-mini,"EverBox Collapsible Gift Box – Red & White, Small",Title,Default Title,Red & White,Small
copy-of-everbox-cozy-mini,"EverBox Collapsible Gift Box – Black, White & Pink, Small",Title,Default Title,"Black, White & Pink",Small
everbox-cabin-small,"EverBox Collapsible Gift Box – Navy, Medium",Title,Default Title,Navy,Medium
everbox-cozy-small,"EverBox Collapsible Gift Box – Pink, Medium",Title,Default Title,Pink,Medium
everbox-cabin-medium,"EverBox Collapsible Gift Box – Blue Plaid, Large",Title,Default Title,Blue Plaid,Large
everbox-cozy-medium,"EverBox Collapsible Gift Box – Pink Plaid, Large",Title,Default Title,Pink Plaid,Large
everbox-cabin-large,"EverBox Collapsible Gift Box – Red, XL",Title,Default Title,Red,XL
everbox-large,"EverBox Collapsible Gift Box – Yellow, XL",Title,Default Title,Yellow,XL
evergift-cabin-small,"EverEnvelope Reusable Gift Bag – Blue & Red Print, Small",Title,Default Title,Blue & Red Print,Small
evergift-cozy-small,"EverEnvelope Reusable Gift Bag – Black & White, Small",Title,Default Title,Black & White,Small
evergift-cabin-medium,"EverEnvelope Reusable Gift Bag – Red & White, Medium",Title,Default Title,Red & White,Medium
copy-of-evergift-cozy-medium,"EverEnvelope Reusable Gift Bag – Black, White & Marigold, Medium",Title,Default Title,"Black, White & Marigold",Medium
evergift-cabin-large,"EverEnvelope Reusable Gift Bag – Navy Forest Animals, Large",Title,Default Title,Navy Forest Animals,Large
evergift-cozy-large,"EverEnvelope Reusable Gift Bag – Pink, Large",Title,Default Title,Pink,Large
everbag-cabin-small,"EverBag Reusable Gift Bag – Blue Berry Foliage, Small",Title,Default Title,Blue Berry Foliage,Small
everbag-cozy-small,"EverBag Reusable Gift Bag – Grey & Gold Floral, Small",Title,Default Title,Grey & Gold Floral,Small
everbag-small-green-floral-print-with-ivory-satin-bow,"EverBag Reusable Gift Bag – Green Floral, Small",Title,Default Title,Green Floral,Small
everbag-cabin-medium,"EverBag Reusable Gift Bag – Red Knit Sweater, Medium",Title,Default Title,Red Knit Sweater,Medium
everbag-cozy-medium,"EverBag Reusable Gift Bag – Buffalo Check, Medium",Title,Default Title,Buffalo Check,Medium
everbag-medium-green-buffalo-plaid-with-ivory-satin-bow-copy,"EverBag Reusable Gift Bag – Green Buffalo Plaid, Medium",Title,Default Title,Green Buffalo Plaid,Medium
everbag-large-cotton-blue-tie-bag-with-satin-ribbon-closure,"EverTie Tie Gift Bag – Blue, Large",Title,Default Title,Blue,Large
everbag-large-cotton-black-grid-tie-bag-with-satin-ribbon-closure,"EverTie Tie Gift Bag – Black Grid, Large",Title,Default Title,Black Grid,Large
everbow,EverBow Reusable Gift Bow – Black,Title,Default Title,Black Bow,
everbow-navy,EverBow Reusable Gift Bow – Navy,Title,Default Title,Navy Bow,
everbow-pink,EverBow Reusable Gift Bow – Pink,Title,Default Title,Pink Bow,
everbow-red,EverBow Reusable Gift Bow – Red,Title,Default Title,Red Bow,
gift-tags,Recycled Paper Gift Tags – 10 Pack,Title,Default Title,Gift Tags,
charms-wooden-tag-with-gold-heart,Wooden Gold Heart Gift Charm,Title,Default Title,Gold Heart,
charm-wooden-tag-with-gold-heart-copy,Wooden Snowflake Gift Charm,Title,Default Title,Snowflake,
charm-wooden-snowflake-copy,Alloy Star Gift Charm,Title,Default Title,Star,
charm-tree,Alloy Tree Gift Charm,Title,Default Title,Tree,
