Handle,Title,Body (HTML),SEO Title,SEO Description
everbox-cabin-mini,"EverBox Collapsible Gift Box – Red & White, Small","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in red and white with a red satin ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Red and white with a red satin ribbon</li><li><strong>Size:</strong> Small – 8&quot; x 8&quot; x 8&quot;</li><li><strong>Fits gifts like:</strong> jewelry, scarves and gloves, candles</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Red & White Collapsible Gift Box, Small | EverWrap",Reusable small gift box in red & white with a red satin ribbon. Folds flat to store and wraps gifts again and again. Zero-waste gifting by EverWrap.
everbox-cabin-small,"EverBox Collapsible Gift Box – Navy, Medium","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in navy with a white and navy grosgrain ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Navy with a white and navy grosgrain ribbon</li><li><strong>Size:</strong> Medium – 12&quot; x 8&quot; x 8&quot;</li><li><strong>Fits gifts like:</strong> shoes, scarves and gloves, medium-sized toys</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Navy Collapsible Gift Box, Medium | EverWrap",Reusable medium gift box in navy with a white and navy grosgrain ribbon. Folds flat to store and wraps gifts again and again. Zero-waste gifting by EverWrap.
everbox-cabin-medium,"EverBox Collapsible Gift Box – Blue Plaid, Large","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in blue plaid with a blue satin ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Blue plaid with a blue satin ribbon</li><li><strong>Size:</strong> Large – 16&quot; x 12&quot; x 8&quot;</li><li><strong>Fits gifts like:</strong> wine glasses with a bottle of wine, trousers and a sweater, larger toys</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Blue Plaid Collapsible Gift Box, Large | EverWrap",Reusable large gift box in blue plaid with a blue satin ribbon. Folds flat to store and wraps gifts again and again. Zero-waste gifting by EverWrap.
everbox-cabin-large,"EverBox Collapsible Gift Box – Red, XL","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in red with a white grosgrain ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Red with a white grosgrain ribbon</li><li><strong>Size:</strong> XL – 16&quot; x 12&quot; x 12&quot;</li><li><strong>Fits gifts like:</strong> a laptop with all the extras, a winter coat, a set of bath towels</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Red Collapsible Gift Box, XL | EverWrap",Reusable extra-large gift box in red with an attached white grosgrain ribbon. Folds flat to store and wraps gifts again and again.
copy-of-everbox-cozy-mini,"EverBox Collapsible Gift Box – Black, White & Pink, Small","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in black, white and pink with a white satin ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Black, white and pink with a white satin ribbon</li><li><strong>Size:</strong> Small – 8&quot; x 8&quot; x 8&quot;</li><li><strong>Fits gifts like:</strong> jewelry, scarves and gloves, candles</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Black, White & Pink Collapsible Gift Box, Small | EverWrap","Reusable small gift box in black, white & pink with a white satin ribbon. Folds flat to store and wraps gifts again and again. Zero-waste gifting by EverWrap."
everbox-cozy-small,"EverBox Collapsible Gift Box – Pink, Medium","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in pink with a black and white grosgrain ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Pink with a black and white grosgrain ribbon</li><li><strong>Size:</strong> Medium – 12&quot; x 8&quot; x 8&quot;</li><li><strong>Fits gifts like:</strong> shoes, scarves and gloves, medium-sized toys</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Pink Collapsible Gift Box, Medium | EverWrap",Reusable medium gift box in pink with a black and white grosgrain ribbon. Folds flat to store and wraps gifts again and again. Zero-waste gifting by EverWrap.
everbox-cozy-medium,"EverBox Collapsible Gift Box – Pink Plaid, Large","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in pink plaid with a white satin ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Pink plaid with a white satin ribbon</li><li><strong>Size:</strong> Large – 16&quot; x 12&quot; x 8&quot;</li><li><strong>Fits gifts like:</strong> wine glasses with a bottle of wine, trousers and a sweater, larger toys</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Pink Plaid Collapsible Gift Box, Large | EverWrap",Reusable large gift box in pink plaid with a white satin ribbon. Folds flat to store and wraps gifts again and again. Zero-waste gifting by EverWrap.
everbox-large,"EverBox Collapsible Gift Box – Yellow, XL","<p>Wrap a gift in seconds with the EverBox, a collapsible, reusable gift box in yellow with a white grosgrain ribbon attached. Place your gift inside, tie the bow and it&#39;s ready to give. When the celebration&#39;s over, it folds flat until next time.</p><ul><li><strong>Color:</strong> Yellow with a white grosgrain ribbon</li><li><strong>Size:</strong> XL – 16&quot; x 12&quot; x 12&quot;</li><li><strong>Fits gifts like:</strong> a laptop with all the extras, a winter coat, a set of bath towels</li><li><strong>Ribbon attached:</strong> tie a bow and it&#39;s wrapped – no tape or tissue paper needed</li><li><strong>Collapsible:</strong> folds completely flat for easy, organized storage</li><li><strong>Heavy-duty and reusable:</strong> made to wrap gift after gift, year after year</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Yellow Collapsible Gift Box, XL | EverWrap",Reusable extra-large gift box in yellow with an attached white grosgrain ribbon. Folds flat to store and wraps gifts again and again.
evergift-cabin-small,"EverEnvelope Reusable Gift Bag – Blue & Red Print, Small","<p>The EverEnvelope is a reusable gift bag in a blue and red berry print with a magnetic flap closure. Tuck your gift inside, snap it shut and it&#39;s wrapped in seconds – no tape, no waste.</p><ul><li><strong>Color:</strong> Blue and red berry print</li><li><strong>Size:</strong> Small – 9.5&quot; x 7.5&quot; x 4.5&quot;</li><li><strong>Fits gifts like:</strong> a journal and pen set, candles and bath salts, chocolate bars</li><li><strong>Magnetic closure:</strong> snaps shut and opens easily, again and again</li><li><strong>Heavy-duty:</strong> built for maximum reusability and folds flat for storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Blue & Red Print Reusable Gift Bag, Small | EverWrap","Reusable small gift bag in blue & red print with a magnetic closure – no tape, no waste. Folds flat to store and reuse every season."
evergift-cabin-medium,"EverEnvelope Reusable Gift Bag – Red & White, Medium","<p>The EverEnvelope is a reusable gift bag in red and white with a magnetic flap closure. Tuck your gift inside, snap it shut and it&#39;s wrapped in seconds – no tape, no waste.</p><ul><li><strong>Color:</strong> Red and white</li><li><strong>Size:</strong> Medium – 13&quot; x 10.5&quot; x 6.25&quot;</li><li><strong>Fits gifts like:</strong> children&#39;s shoes, electronics, kitchen utensil sets</li><li><strong>Magnetic closure:</strong> snaps shut and opens easily, again and again</li><li><strong>Heavy-duty:</strong> built for maximum reusability and folds flat for storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Red & White Reusable Gift Bag, Medium | EverWrap","Reusable medium gift bag in red & white with a magnetic closure – no tape, no waste. Folds flat to store and reuse every season."
evergift-cabin-large,"EverEnvelope Reusable Gift Bag – Navy Forest Animals, Large","<p>The EverEnvelope is a reusable gift bag in navy with a gold forest-animal print with a magnetic flap closure. Tuck your gift inside, snap it shut and it&#39;s wrapped in seconds – no tape, no waste.</p><ul><li><strong>Color:</strong> Navy with a gold forest-animal print</li><li><strong>Size:</strong> Large – 16.25&quot; x 13.5&quot; x 6.5&quot;</li><li><strong>Fits gifts like:</strong> men&#39;s shoes, large tablets, cozy sweaters</li><li><strong>Magnetic closure:</strong> snaps shut and opens easily, again and again</li><li><strong>Heavy-duty:</strong> built for maximum reusability and folds flat for storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Navy Forest Animals Reusable Gift Bag, Large | EverWrap","Reusable large gift bag in navy forest animals with a magnetic closure – no tape, no waste. Folds flat to store and reuse every season."
evergift-cozy-small,"EverEnvelope Reusable Gift Bag – Black & White, Small","<p>The EverEnvelope is a reusable gift bag in black and white with a magnetic flap closure. Tuck your gift inside, snap it shut and it&#39;s wrapped in seconds – no tape, no waste.</p><ul><li><strong>Color:</strong> Black and white</li><li><strong>Size:</strong> Small – 9.5&quot; x 7.5&quot; x 4.5&quot;</li><li><strong>Fits gifts like:</strong> a journal and pen set, candles and bath salts, chocolate bars</li><li><strong>Magnetic closure:</strong> snaps shut and opens easily, again and again</li><li><strong>Heavy-duty:</strong> built for maximum reusability and folds flat for storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Black & White Reusable Gift Bag, Small | EverWrap","Reusable small gift bag in black & white with a magnetic closure – no tape, no waste. Folds flat to store and reuse every season."
copy-of-evergift-cozy-medium,"EverEnvelope Reusable Gift Bag – Black, White & Marigold, Medium","<p>The EverEnvelope is a reusable gift bag in black, white and marigold with a magnetic flap closure. Tuck your gift inside, snap it shut and it&#39;s wrapped in seconds – no tape, no waste.</p><ul><li><strong>Color:</strong> Black, white and marigold</li><li><strong>Size:</strong> Medium – 13&quot; x 10.5&quot; x 6.25&quot;</li><li><strong>Fits gifts like:</strong> children&#39;s shoes, electronics, kitchen utensil sets</li><li><strong>Magnetic closure:</strong> snaps shut and opens easily, again and again</li><li><strong>Heavy-duty:</strong> built for maximum reusability and folds flat for storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Black, White & Marigold Reusable Gift Bag, Medium | EverWrap","Reusable medium gift bag in black, white & marigold with a magnetic closure – no tape, no waste. Folds flat to store and reuse every season."
