Handle,Title,Body (HTML),Option1 Name,Option1 Value,SEO Title,SEO Description
everbox-cabin-mini,EverBox: Small Red + White Collapsible Gift Box with Red Satin Ribbon,"<p data-start=""133"" data-end=""189"">🎁 <strong data-start=""136"" data-end=""187"">Collapsible Gift Box – Small Gifts, Big Impact!</strong></p>
<p data-start=""191"" data-end=""454"">The simplest all-in-one solution for reusable gift wrapping. Just tie the built-in bow, and your standout gift is beautifully wrapped—no waste, no hassle! Let’s cut down on wrapping paper and single-use boxes with the EverBox for stunning, sustainable presents.</p>
<p data-start=""456"" data-end=""601"">Foldable, storable, and endlessly reusable, this all-in-one box is perfect for smaller gifts like:<br data-start=""554"" data-end=""557"">✨ Jewelry<br data-start=""566"" data-end=""569"">✨ Scarves &amp; gloves<br data-start=""587"" data-end=""590"">✨ Candles</p>
<p data-start=""603"" data-end=""630"">📏 <strong data-start=""606"" data-end=""615"">Size:</strong> 8"" x 8"" x 8""</p>
<p data-start=""603"" data-end=""630""><span> (Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,"Collapsible Gift Box Price Includes 2 Large EverBoxes Two-Piece Gift Box Price Includes 2 Large EverBoxs.  It's the simplest all-in one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
everbox-cabin-small,EverBox: Medium Navy Blue Collapsible Gift Box with White + Navy Grosgrain Ribbon,"<p dir=""ltr""><strong>Why you'll love it</strong></p>
<ul dir=""ltr"">
<li>
<strong>Wraps gifts in seconds:</strong> no cutting, taping or folding paper</li>
<li>
<strong>Satin ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li>
<li>
<strong>Reusable gift wrap:</strong> replaces single-use gift bags and wrapping paper</li>
<li>
<strong>Saves money:</strong> stop buying new gift bags for every birthday and holiday</li>
<li>
<strong>Stores flat:</strong> folds completely flat for easy, organized storage</li>
</ul>
<p dir=""ltr""><strong>Size:</strong> 12"" x 8"" x 8""</p>
<p dir=""ltr"">Perfect for birthdays, Christmas, baby showers, weddings, Mother's Day and every celebration in between.</p>
<p dir=""ltr""><strong>Earth friendly 🌎</strong> Every time you reuse your EverWrap gift box, that's one less gift bag or sheet of wrapping paper in the trash.</p>",Title,Default Title,,"Collapsible Gift Box Price Includes 2 Large EverBoxes Two-Piece Gift Box Price Includes 2 Large EverBoxs.  It's the simplest all-in one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
everbox-cabin-medium,EverBox: Large Blue Plaid Collapsible Gift Box with Blue Satin Ribbon,"<h3><span>Collapsible Gift Box</span></h3>
<p><span>ECO FRIENDLY 🌎 SAY NO TO PLASTIC BAGS 🌎 Reduce the gift wrap bag and paper waste</span></p>
<p><span>It's the simplest all-in-one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper and single use gift box waste and use the EverBox for beautiful presents.</span></p>
<p><span>Foldable, storable and highly usable this all inclusive box is perfect for Larger size gifts items such as:</span></p>
<ul>
<li>Set of wine glasses and bottle of wine<br>
</li>
<li>Trousers and Sweater</li>
<li>Larger size toy </li>
</ul>
<p><span>Measurements: 16 x 12 x 8""</span></p>
<p><span> (Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)<br></span></p>",Title,Default Title,,"Collapsible Gift Box Price Includes 2 Large EverBoxes Two-Piece Gift Box Price Includes 2 Large EverBoxs.  It's the simplest all-in one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
everbox-cabin-large,EverBox: Extra Large Red Collapsible Gift Box with White Grosgrain Ribbon Attached,"<h3><span>Collapsible Gift Box</span></h3>
<p><span>ECO FRIENDLY 🌎 SAY NO TO PLASTIC BAGS 🌎 Reduce the gift wrap bag and paper waste</span></p>
<p><span>It's the simplest all-in-one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents.</span></p>
<p><span>This all inclusive box is perfect for Larger size gifts items such as:</span></p>
<ul>
<li>Laptop with all the extras<br>
</li>
<li>Winter coat<br>
</li>
<li>New set of bathroom towels<br>
</li>
</ul>
<p><span>Measurements: 16 x 12 x 12""</span></p>
<p><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)<br><br></span></p>",Title,Default Title,,"Collapsible Gift Box Price Includes 2 Large EverBoxes Two-Piece Gift Box Price Includes 2 Large EverBoxs.  It's the simplest all-in one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
copy-of-everbox-cozy-mini,"EverBox: Small Black, White and Pink Collapsible Gift Box with White Satin Ribbon","<p data-start=""133"" data-end=""189"">🎁 <strong data-start=""136"" data-end=""187"">Collapsible Gift Box – Small Gifts, Big Impact!</strong></p>
<p data-start=""191"" data-end=""454"">The simplest all-in-one solution for reusable gift wrapping. Just tie the built-in bow, and your standout gift is beautifully wrapped—no waste, no hassle! Let’s cut down on wrapping paper and single-use boxes with the EverBox for stunning, sustainable presents.</p>
<p data-start=""456"" data-end=""601"">Foldable, storable, and endlessly reusable, this all-in-one box is perfect for smaller gifts like:<br data-start=""554"" data-end=""557"">✨ Jewelry<br data-start=""566"" data-end=""569"">✨ Scarves &amp; gloves<br data-start=""587"" data-end=""590"">✨ Candles</p>
<p data-start=""603"" data-end=""630"">📏 <strong data-start=""606"" data-end=""615"">Size:</strong> 8"" x 8"" x 8""<span></span></p>",Title,Default Title,,"Collapsible Gift Box Price Includes 2 Large EverBoxes Two-Piece Gift Box Price Includes 2 Large EverBoxs.  It's the simplest all-in one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
everbox-cozy-small,EverBox: Medium Pink Collapsible Gift Box with Black + White Grosgrain Ribbon,"<p data-end=""169"" data-start=""112"">🎁 <strong data-end=""167"" data-start=""115"">Collapsible Gift Box – Easy, Reusable, Stunning!</strong></p>
<p data-end=""433"" data-start=""171"">The simplest all-in-one solution for reusable gift wrapping. Just tie the built-in bow, and your standout gift is beautifully wrapped—no waste, no hassle! Let’s cut down on wrapping paper and single-use boxes by choosing the EverBox for every special occasion.</p>
<p data-end=""593"" data-start=""435"">Foldable, storable, and endlessly reusable, this all-in-one box is perfect for medium-sized gifts like:<br data-end=""541"" data-start=""538"">✨ Shoes<br data-end=""551"" data-start=""548"">✨ Scarves &amp; gloves<br data-end=""572"" data-start=""569"">✨ Medium-sized toys</p>
<p data-end=""623"" data-start=""595"">📏 <strong data-end=""607"" data-start=""598"">Size:</strong> 12"" x 8"" x 8""<span></span></p>
<p data-end=""623"" data-start=""595""><span> (Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,"Collapsible Gift Box Price Includes 2 Large EverBoxes Two-Piece Gift Box Price Includes 2 Large EverBoxs.  It's the simplest all-in one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
everbox-cozy-medium,EverBox: Large Pink Plaid Collapsible Gift Box with White Satin Ribbon,"<p dir=""ltr""><strong>Why you'll love it</strong></p>
<ul dir=""ltr"">
<li>
<strong>Wraps gifts in seconds:</strong> no cutting, taping or folding paper</li>
<li>
<strong>Satin ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li>
<li>
<strong>Reusable gift wrap:</strong> replaces single-use gift bags and wrapping paper</li>
<li>
<strong>Saves money:</strong> stop buying new gift bags for every birthday and holiday</li>
<li>
<strong>Stores flat:</strong> folds completely flat for easy, organized storage</li>
</ul>
<p dir=""ltr""><strong>Size:</strong> 16"" x 12"" x 8""</p>
<p dir=""ltr"">Perfect for birthdays, Christmas, baby showers, weddings, Mother's Day and every celebration in between.</p>
<p dir=""ltr""><strong>Earth friendly 🌎</strong> Every time you reuse your EverWrap gift box, that's one less gift bag or sheet of wrapping paper in the trash.</p>",Title,Default Title,,"Collapsible Gift Box Price Includes 2 Large EverBoxes Two-Piece Gift Box Price Includes 2 Large EverBoxs.  It's the simplest all-in one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
everbox-large,EverBox: Extra Large Yellow Collapsible Gift Box with White Grosgrain Ribbon Attached,"<h3><span>Collapsible Gift Box</span></h3>
<p><span>It's the simplest all-in-one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents.</span></p>
<p><span>This all inclusive box is perfect for Larger size gifts items such as:</span></p>
<ul>
<li>Laptop with all the extras<br>
</li>
<li>Winter coat<br>
</li>
<li>New set of bathroom towels<br>
</li>
</ul>
<p><span>Measurements: 16 x 12 x 12""</span></p>
<p><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)<br><br></span></p>",Title,Default Title,,
evergift-cabin-small,EverEnvelope: Small Blue and Red Print Reusable Gift Bag with Magnetic Closure,"<p data-start=""152"" data-end=""209"">🎁 <strong data-start=""155"" data-end=""207"">Quick Gift Package – Wrap Small Gifts in a Snap!</strong></p>
<p data-start=""211"" data-end=""504"">The simplest all-in-one solution for reusable gift wrapping. Just pop your gift inside, close the magnetic flap, and you’re done—no tape or waste! Compatible with our EverWrap Trimmings for extra flair. Together, we can ditch single-use wrapping and make every gift gorgeous and sustainable.</p>
<p data-start=""506"" data-end=""623"">Perfect for small treasures like:<br data-start=""539"" data-end=""542"">✨ Journal &amp; pen sets<br data-start=""562"" data-end=""565"">✨ Candles &amp; bath salts<br data-start=""587"" data-end=""590"">✨ Collections of chocolate bars</p>
<p data-start=""625"" data-end=""700"">📏 <strong data-start=""628"" data-end=""637"">Size:</strong> 9.5"" x 7.5"" x 4.5""<br data-start=""656"" data-end=""659""><em data-start=""659"" data-end=""698"">Bow and snowflake charm not included.</em><span></span></p>
<p data-start=""625"" data-end=""700""><em data-start=""659"" data-end=""698""><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></em></p>",Title,Default Title,,"Quick Gift Package Price Includes 2 Small Lay Flat store easily Gift Bag  Price Includes 2 Small EverGift Bags.  It's the simplest all-in one solution for reusable gift wrapping. With the ease of a fold over and magnetic snap, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
evergift-cabin-medium,EverEnvelope: Medium Red and White Reusable Gift Bag with Magnetic Closure,"<p data-start=""126"" data-end=""180"">🎁 <strong data-start=""129"" data-end=""178"">Quick Gift Package – Medium Gifts, Major Wow!</strong></p>
<p data-start=""182"" data-end=""517"">🌎 <strong data-start=""185"" data-end=""242"">Eco-Friendly – Say Bye to Plastic, Hello to Reusable!</strong> 🌎<br data-start=""245"" data-end=""248"">Our easiest all-in-one solution for stress-free, reusable gift wrapping. Just tuck your gift inside, snap the magnetic flap shut, and you’ve got a stunning, waste-free present in seconds! Let’s kick wrapping paper waste to the curb and wrap beautifully with EverWrap.</p>
<p data-start=""519"" data-end=""627"">Perfect for medium-sized treasures like:<br data-start=""559"" data-end=""562"">✨ Children’s shoes<br data-start=""580"" data-end=""583"">✨ Electronics<br data-start=""596"" data-end=""599"">✨ New kitchen utensil sets</p>
<p data-start=""629"" data-end=""724"">📏 <strong data-start=""632"" data-end=""641"">Size:</strong> 13"" x 10.5"" x 6.25"" – perfectly sized for those gifts that need a bit more room!<span></span></p>
<p data-start=""629"" data-end=""724""><em>Bow and snowflake charm sold separately.</em></p>
<p data-start=""629"" data-end=""724""><em><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></em></p>",Title,Default Title,,"Quick Gift Package Price Includes 2 Medium Lay Flat store easily Gift Bag  Price Includes 2 Medium EverGift Bags.  It's the simplest all-in one solution for reusable gift wrapping. With the ease of a fold over and magnetic snap, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
